State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Maharashtra, Sangli,2004,0,0,0,1.8,21.8,232.9,49.3,139.9,150.2,24.8,0.2,0,620.9
Maharashtra, Sangli,2005,0,0.4,0,25.4,3.4,158.5,314.4,247.7,246,69.8,0,0,1065.6
Maharashtra, Sangli,2006,0,0,2.6,0.6,27.5,205.7,200.9,197.7,164,59.9,16.3,0,875.2
Maharashtra, Sangli,2007,0,0,0,5.8,12.1,312.4,127.9,160.1,135.6,9.1,12.2,0,775.2
Maharashtra, Sangli,2008,0,0,59.8,30.5,25.6,79.9,36,170.7,207.2,110.6,5.5,0.2,726.0
Maharashtra, Sangli,2009,0,0,0,0,37.2,58.3,178.6,101.9,198.5,117.9,103.2,1.3,796.9
Maharashtra, Sangli,2010,0.1,0,0,17,2.5,186.1,179.7,145.5,151.8,79.7,56.2,2.4,821
Maharashtra, Satara,2004,0,0,0.1,1.4,8.1,301.2,98.5,340.8,172.7,24.5,5.8,0,953.1
Maharashtra, Satara,2005,0.5,0.1,0,4.6,1,279.8,501.3,402.1,259.6,81.3,0,0,1530.3
Maharashtra, Satara,2006,0,0,2.9,0,32.4,253.1,477.9,381.1,153.5,48.3,12.9,0,1362.1
Maharashtra, Satara,2007,0,0,0,7.8,1.7,386.6,303.7,261,175.8,1.3,4.6,0,1142.5
Maharashtra, Satara,2008,0,0,31.4,2.4,17.6,160.6,99.3,265.1,216,62.2,4.9,2.6,862.1
Maharashtra, Satara,2009,0,0,3.2,0.6,15.6,81.1,540.1,221.3,201.8,122.3,171.7,0.9,1358.6
Maharashtra, Satara,2010,0,0,2.6,14.3,8.4,306.2,378.3,232.1,246.9,114.6,68.7,3,1375.1
Maharashtra, Sholapur,2004,0,0.8,0,1.5,38.8,110.2,123.8,28.7,214.1,47.9,0.1,0,565.9
Maharashtra, Sholapur,2005,0,0,0.9,3.6,4.7,41.6,155.9,110.5,151.7,166.9,0,0,635.8
Maharashtra, Sholapur,2006,0,0,0.7,1.2,21.5,140.8,32,61.8,231.4,44.5,8.7,0,542.6
Maharashtra, Sholapur,2007,0,0,0,0.1,0.2,227,49.8,143,223.4,0,9.5,0,653.0
Maharashtra, Sholapur,2008,0,0,49.7,7.7,4.8,27.7,63.4,156.2,279.1,58,25.4,0.5,672.5
Maharashtra, Sholapur,2009,0,0,1,0.8,32.8,75.3,54,167,230.4,109.8,54.1,3.2,728.4
Maharashtra, Sholapur,2010,21.4,1.4,0,5.1,3.6,146.1,182.3,258.2,138.2,86.2,36.6,2.8,881.9
Maharashtra, Sindhudurg,2004,0,0,0,0,38.4,902.4,811,598.7,209.6,49.5,0,0,2609.6
Maharashtra, Sindhudurg,2005,0,0,0,0.5,0,713.7,1128.7,561.2,518.7,54,0,0,2976.8
Maharashtra, Sindhudurg,2006,0,0,0,0,313.5,544.4,651.3,559,484.4,272.5,0,0,2825.1
Maharashtra, Sindhudurg,2007,0,0,0,1.8,55.5,858.5,651,846.6,553.6,88.3,46.9,0,3102.2
Maharashtra, Sindhudurg,2008,0,0,47.3,0,0,808.3,619.8,898.5,645.1,32.6,0,7.3,3058.9
Maharashtra, Sindhudurg,2009,0,0,0,0,21.3,669.6,1547.4,338,382.7,585.9,104.4,0,3649.3
Maharashtra, Sindhudurg,2010,0,0,0,11.7,17,1061.9,1794,867.2,559.5,292.5,151.4,0.5,4755.7
Maharashtra, Thane,2004,0,0,0,0,8,425.7,814,1452.6,194.7,34.8,0,0,2929.8
Maharashtra, Thane,2005,0,0,0,0,0,706.5,1237,726.3,876.2,17.1,0,0,3563.1
Maharashtra, Thane,2006,0,0,0.3,0,32.8,489.7,1153.7,1073.1,284,105.7,0,0,3139.3
