alarmRaisedTime,alarmName,alarmType
2018-04-08 04:00:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:00:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:00:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:00:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:00:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:00:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:00:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:00:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:00:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:00:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:00:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:15:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:20:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:40:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 04:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 05:40:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 05:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 06:20:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 06:20:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 06:20:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 06:40:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 06:55:39,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 07:50:39,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 08:15:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 08:15:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 08:55:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 09:05:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 09:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 09:20:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 09:55:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 09:55:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 09:55:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 10:35:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 10:45:39,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 11:25:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 12:20:39,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 13:30:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 14:05:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 14:30:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 15:05:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 15:10:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 15:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 15:15:39,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 15:30:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 15:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 15:55:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 16:30:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 16:35:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 16:45:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 16:45:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 17:00:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 17:00:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 17:30:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 17:30:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 17:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 18:00:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 18:10:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 18:30:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 18:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 18:55:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 19:00:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 19:00:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 19:30:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 19:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 19:55:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 20:10:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 20:50:39,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 20:55:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 21:35:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-08 21:40:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
